2025-05-04 17:48:06,876 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:06,878 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:06,879 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:08,090 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:08,092 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:08,092 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:09,770 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:09,812 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:09,812 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:11,548 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:11,551 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:11,552 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:13,089 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:13,135 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:13,135 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:15,326 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:19,764 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:19,764 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:19,788 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:19,868 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:19,869 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:19,887 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:19,894 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:19,894 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:19,934 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
2025-05-04 17:48:19,949 INFO    MainThread:126516 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-05-04 17:48:19,949 INFO    MainThread:126516 [wandb_init.py:_pause_backend():439] pausing backend
2025-05-04 17:48:22,144 INFO    MainThread:126516 [wandb_init.py:_resume_backend():444] resuming backend
